id	milestone	repo	title	depends_on	effort	smoke
DR-OW-01	M0	Ka0sAddonsCommonTasks	Record the owner's rulings on 04_OPEN_QUESTIONS.md (Q1-Q21; Q1 is committed as DR-OW-03, and the Q2 measurement stays DR-OW-02) in OWNER_RULINGS.md		S	
DR-WS-01	M1	WowAddonStandards	Open v2.68.0 (header, changelog entry, footer fix, root README.md Status line); append debug-logging-§14 (STD-01..STD-16, STD-19..STD-20) and the §4/§5/§7 and adoption-line edits (STD-21)	DR-OW-01	M	
DR-WS-02	M1	WowAddonStandards	slash-commands-§2/§3/§7: diagnostics becomes the thirteenth reserved live verb; every enumeration of the reserved verbs (:40, :45, :293) gains it (STD-22)	DR-WS-01	S	
DR-WS-03	M1	WowAddonStandards	documentation-§1 item 9 ## Reporting a bug with the owner's wording, renumber 9-11 -> 10-12, fix cross-refs :10 (item 10->11), :92 and :96 (Credits 11->12); §3 Tier-2 docs/debug.md ruling (STD-17, STD-18, STD-23)	DR-WS-01	S	
DR-WS-04	M1	WowAddonStandards	Anti-pattern #90 (STANDARDS.md range #1-#90) and the AUDIT.md step-4 diagnostics check; the live-verb enumerations at AUDIT.md :624/:631 gain diagnostics (AP-01, AUD-01)	DR-WS-02,DR-WS-03	S	
DR-WS-06	M1	WowAddonStandards	Ripple into EXECUTIVE_SUMMARY.md (:56 file count), NEW_ADDON_CONTEXT.md (sections skeleton, README template, stub member, checklist), the NEW_ADDON.md playbook (step 6 README order :253-257, setup/sections file list near :123, slash step), library-stack.md (:82 recount to 22 files, :93 file column, :256 applicability row), STANDARDS.md :57 blurb, open-evolutions.md :13 (STD-24)	DR-WS-04	M	
DR-WA-01	M1	wow-addon	wow-addon: README item citations after the renumber (bump-version :124 item 10->11, :192 check; sync-docs :172 and new-addon :210 Credits item 13->12); live-verb enumerations gain diagnostics (agents/standards-audit.md :219-221, :263; agents/review.md :470); new-addon and sync-docs name the mandatory ## Reporting a bug section and the diagnostics verb; plugin.json version bump and CLAUDE.md version line (STD-25)	DR-WS-03,DR-WS-02	S	
DR-LK-01	M2	LibKa0s	Pre-check: feat/2026-09-25-draghandle-close tip is still 53c141a and no other workflow has LibKa0s checked out (else record the tip and stack on it). DebugLog minor 14 opens: lib.TIME_COPY copy-timing flag (BUF-06b) and lib.BUFFER_SLACK published at 64, with mocked-clock tests		S	S7
DR-OW-02	M2	Ka0sAddonsCommonTasks	Owner measures Copy open+highlight at 1500/3000/5000 (BUF-02) and records the figures and the chosen MAX_BUFFER in OWNER_RULINGS.md		S	S7
DR-LK-02	M2	LibKa0s	MAX_BUFFER 1500 -> 5000 (or 3000) and BUFFER_SLACK 200 (or 128); rewrite test_debuglog.lua :92-96, :195, :212-239 on the constants (BUF-01, BUF-03..BUF-05)	DR-LK-01,DR-OW-02	M	S7,S10
DR-LK-03	M2	LibKa0s	New DebugLogDiagnostics.lua (DIAG_MINOR 1, key 14.1): RunDiagnostics, BuildDiagnostics, out:* helpers, DIAG_MAX_LINES, DebugVerb, install hook; test_debuglog_diagnostics.lua; shared testkit/test_diagnostics_contract.lua with a Kit.VERSION bump (Q20 (b)); majors.lua and LibKa0s.xml (LIB-01..LIB-09)	DR-LK-01,DR-OW-01	L	
DR-LK-04	M2	LibKa0s	Slash minor 16: diagnostics in lib.LIVE_VERBS; comments at Slash.lua :89, :478 and :826 ('twelve reserved verbs'); re-pin test_slash.lua:1272-1273 (LIB-10)	DR-OW-01	S	S10
DR-LK-05	M2	LibKa0s	Docs for v1.60.0: DebugLog version-14.1 and Slash version-16 docs, earlier ones Superseded, gen-api-members, docs/api/README.md, README module table, releasing.md (:7 constants table, :28 step-2 list 'All twenty-one' -> twenty-two with DIAG_MINOR, :226, :250), CHANGELOG, test-cases.md; Kit.VERSION bump documented (testkit gains test_diagnostics_contract.lua, Q20 (b))	DR-LK-02,DR-LK-03,DR-LK-04,DR-WS-05	M	
DR-LK-06	M2	LibKa0s	Release run --release 1.60.0 on a clean tree with WowAddonStandards on the rollout branch; ANALYSIS.md; local tag v1.60.0 (not pushed)	DR-LK-05	S	
DR-WS-05	M1	WowAddonStandards	Write the measured MAX_BUFFER into debug-logging §1/§9/§11, library-stack.md and NEW_ADDON_CONTEXT.md (BUF-07)	DR-WS-06,DR-OW-02	S	
DR-OW-03	M3	Ka0sAddonsCommonTasks	Record the owner's Q1 ruling on the DragHandle X (X-02, X-04; OWNER_RULINGS.md): ConsumableMaster macroBar.enabled=false; AbsorbTracker units.<unit>.enabled=false on every bar, the player bar included; KickCD gets no X (X-03)		S	
DR-OW-05	M3	Ka0sAddonsCommonTasks	AuraMaster batch-8/9/10 branch merged to master, or owner approves stacking on its recorded tip (Q16)		S	
DR-AT-01	M3	AbsorbTracker	Re-vendor LibKa0s v1.60.0 with the provenance line; DebugLog stub gains RunDiagnostics; roll the liveVerbs builder; suite green	DR-LK-06	S	
DR-AT-02	M3	AbsorbTracker	Read-only seams: visibility reason and last shown (Display), repaint pending (Timer), session counters (AbsorbTracker); degraded arms and tests	DR-AT-01	S	
DR-AT-03	M3	AbsorbTracker	modules/Diagnostics.lua on the helper (DX-AT); diagnostics COMMANDS row and debug word; fold debug events; tests per STD-19; verb counts 18 -> 19	DR-AT-02	M	S1,S2,S5,S11,S3,S4,S8
DR-AT-04	M3	AbsorbTracker	README ## Reporting a bug (step 3 names no destination, no GitHub link) and Troubleshooting/FAQ pointers (STD-17, STD-18)	DR-AT-03	S	S9
DR-AT-05	M3	AbsorbTracker	Docs: new docs/debug.md and the Tier-2 row flip; slash-dispatch, module-map, schema, scope, smoke-tests; the buffer sites (ARCHITECTURE:75, module-map :306/:362, smoke-tests :95); the LibKa0s file count twenty-one -> twenty-two (ARCHITECTURE:49, module-map:908, performance.md:390)	DR-AT-03	S	S7
DR-AT-06	M3	AbsorbTracker	DragHandle X on every bar strip (player, target and focus; no player-bar exception) per DR-OW-03 (X-01, X-04, X-05); re-check test_draghandle.lua:182 Measure pins; locale keys; smoke steps	DR-AT-01,DR-OW-03	S	S6
DR-OW-07	M4	Ka0sAddonsCommonTasks	Executor asks the owner (Q21), then the owner merges and pushes WowAddonStandards v2.68.0 (and wow-addon) to master, because revendor-standards and standards-audit fetch the standard from raw GitHub master; recorded as a commit here	DR-WS-05,DR-WA-01	S	
