id	milestone	repo	title	depends_on	effort	smoke	finding_ids	issue_refs
WS-01	M1	WowAddonStandards	Open v2.65.0; AUDIT.md re-vendor check grades by step 5, counts same-day commits and reads a consolidated span bundle		S		AbsorbTracker-A-22,AuraMaster-A-20,ConsumableMaster-A-03,KICKCD-A-02,LootHistory-A-22,PanelMaster-A-16,PartyFrameEnhanced-A-19	
WS-02	M1	WowAddonStandards	Rule the degraded composed-row conflict: hollow composers stand; host verbs write through a declared writeThrough list or refuse with one library-absent line	WS-01	M		AbsorbTracker-A-23	PartyFrameEnhanced#14,WhatGroup#22
WS-03	M1	WowAddonStandards	Rule migration-stamp ownership: defaults declare schemaVersion 0, the runner owns the stamp, profile steps run per profile	WS-01	S		WHATGROUP-R-03,LootHistory-A-18,PanelMaster-A-17	
WS-04	M1	WowAddonStandards	Settle events-frames-taint-§1 against library-stack-§1, name LibKa0s-Core's SafeRegisterEvent as the helper, and state architecture-§4's threshold	WS-01	S		PRETTYCHAT-A-08,PRETTYCHAT-A-11,WHATGROUP-A-04	
WS-05	M1	WowAddonStandards	Give compat an applicability condition: core/Compat.lua is required only by an addon that owns a deprecated or version-variant call	WS-01	S		AbsorbTracker-A-15,PRETTYCHAT-A-18	
WS-06	M1	WowAddonStandards	Clarify reserved verbs in sub-trees, the value-hold verb, who pins a library strip, and the minimap row's CLI path polarity	WS-01	S		KICKCD-A-27,AbsorbTracker-A-14,PRETTYCHAT-A-26,WHATGROUP-R-15	
WS-07	M1	WowAddonStandards	Text corrections: debug buffer 1500, bootstrap underscore, the settings-panel table, the TOC literal, '.png ships', 'synchronis', and the lone-CR note	WS-01	S		AbsorbTracker-A-21,PRETTYCHAT-A-28,WHATGROUP-A-22,WHATGROUP-A-23,ConsumableMaster-A-06	
WS-08	M1	WowAddonStandards	v2.65.0 ripple: executive summary, context pack, playbooks, README; close the changelog entry	WS-02,WS-03,WS-04,WS-05,WS-06,WS-07	M			
WS-09	M1	WowAddonStandards	options-ui-§9: the library MAY park a combat-time category registration and MUST replay it once	WS-08	S			
LK-01	M1	LibKa0s	Kit revision 26 groundwork: peel framework.lua's assertion and parity families into asserts.lua, and test_prose's lists into prose_lists.lua		M		LibKa0s-A-04	
LK-02	M1	LibKa0s	Kit.assertErrorMatches, and the 23 statement-position assertError calls assert on the raised text	LK-01	M		LibKa0s-R-07	
LK-03	M1	LibKa0s	AceDB fake fidelity: CopyProfile and DeleteProfile raise as AceDB-3.0 does, and SetProfile strips defaults	LK-02	S		AbsorbTracker-R-06,PartyFrameEnhanced-R-09	
LK-04	M1	LibKa0s	Kit mock: a recording EventRegistry, frame RegisterEvent/RegisterUnitEvent honoring __badEvents, and C_EventUtils.IsEventValid	LK-01	M		PartyFrameEnhanced-R-10	
LK-05	M1	LibKa0s	Kit mock CreateFrame starts shown, as the client does; collection dry-run of the flip	LK-04	M		PartyFrameEnhanced-A-02	
LK-06	M1	LibKa0s	test_eol catches a lone CR in any scanned text file	LK-01,WS-07	S		AuraMaster-A-18	
LK-07	M1	LibKa0s	Prose gate: scan store-root README/RESULTS files, skip docs/superpowers/ and docs/investigations/, and publish 'synchronis'	LK-01,WS-07	M		ConsumableMaster-A-05,KICKCD-A-06,PanelMaster-A-09	
LK-08	M1	LibKa0s	Kit citations carry the section sign; the ASCII gate scopes to the shipped LibKa0s/ payload	LK-07	S		AbsorbTracker-A-17,WHATGROUP-A-13	
LK-09	M1	LibKa0s	Runner: headed watch-list tables when empty, and the performance-§12 exemption as perf skip reason (2)	LK-01	M		LibKa0s-A-09,BankLedger-A-04,LootHistory-A-12,PRETTYCHAT-A-15	
LK-10	M1	LibKa0s	Core minor 8: printer.Format survives a secret value in a numeric specifier	LK-02	S	yes	LibKa0s-R-08	
LK-11	M1	LibKa0s	Core: SafeRegisterEvent / SafeRegisterUnitEvent / SafeRegisterEvents, the collection's pcalled registration helper	LK-10,LK-04,WS-04	M	yes	AuraMaster-R-05	
LK-12	M1	LibKa0s	Item minor 2: QualityFromLink reads the 11.1.5+ \|cnIQ<n> link color, and the quality map is cached only when non-empty	LK-02	S	yes	LibKa0s-R-01,LibKa0s-R-13	
LK-13	M1	LibKa0s	Media minor 4: register JetBrains Mono with a western+ruRU langmask and count only what LSM accepted	LK-02	S	yes	LibKa0s-R-04	
LK-14	M1	LibKa0s	Bus minor 2: re-stamp tracking wrappers a newer AceEvent re-embed overwrote	LK-02	M	yes	LibKa0s-R-05	
LK-15	M1	LibKa0s	Lifecycle minor 2: document and pin the nested-edge (re-entrancy) behavior	LK-02	S		LibKa0s-R-17	
LK-16	M1	LibKa0s	Launcher minor 2: an isEnabled/disabledLine gate for a rung (a)/(b) left click, and missing-library notices printed once, untagged	LK-02	S	yes	LibKa0s-R-06,LibKa0s-R-09	
LK-17	M1	LibKa0s	Slash minor 15: CliSet/CliReset print the write seam's refusal instead of echoing the unchanged value	LK-02	S	yes	LibKa0s-R-03	
LK-18	M1	LibKa0s	Degraded Slash stub contract: Kit.assertLibraryConstant and the Slash doc's prescribed stub shape	LK-17,WS-02	S		PartyFrameEnhanced-R-11	WhatGroup#22
LK-19	M1	LibKa0s	DebugLog minor 13: batched buffer trim instead of table.remove(1) per line at the cap	LK-02,WS-07	S	yes	LibKa0s-R-10	
LK-20	M1	LibKa0s	Perf minor 13: armed/recording/label stay raw fields (false, never nil), and openDepth resets at window edges	LK-02	S	yes	LibKa0s-R-11,LibKa0s-R-16	
LK-21	M1	LibKa0s	Widgets minor 10: ReorderList polls on its own ghost frame and draws its drop line from a library pool	LK-02	M	yes	LibKa0s-R-12	
LK-22	M1	LibKa0s	Schema minor 2: instanceId forwarding, row.normalize, and SetMany (all-or-nothing batch, one bracket line, one announce)	LK-02	L		LibKa0s-R-14	ConsumableMaster#39,MultiMeters#52,KickCD#22,AuraMaster#21
LK-23	M1	LibKa0s	Schema writeThrough: a declared path list the live seam and the degraded stub both store without a row	LK-22,WS-02	M		AbsorbTracker-A-02,AbsorbTracker-A-03	PartyFrameEnhanced#14,WhatGroup#22
LK-24	M1	LibKa0s	Options: peel the font preload out of Options.lua into OptionsScroll.lua (behavior-neutral; makes room under the cap)	LK-02	S	yes		
LK-25	M1	LibKa0s	Options: CreateOptionsPanel parks in combat and replays itself; OpenOptionsPanel answers a boolean	LK-24	M	yes	ConsumableMaster-A-04	
LK-26	M1	LibKa0s	OptionsWidgets minor 31: the slider and color throttles track their own armed flag, ignoring scheduleTimer's return	LK-25	S	yes	KICKCD-R-19	
LK-27	M1	LibKa0s	OptionsTabs minor 4: PageBanner, PageHeader and the chrome divider stop leaking a widget per render; the kit's AceGUI fake surveys Create/Release	LK-26,LK-01	M	yes	LibKa0s-R-02	
LK-28	M1	LibKa0s	RenderTabbedSchema moves to OptionsTabs.lua and gains host tabs, a disabled notice and a chrome hook; PageBanner gains an action button	LK-27,LK-25	L	yes	AuraMaster-R-04	
LK-29	M1	LibKa0s	US-English sweep of the authored prose (the roughly 210 British spellings)	LK-28,LK-07	M		LibKa0s-A-07	
LK-30	M1	LibKa0s	Root CLAUDE.md: figures pointed at their generated sources, a register row for widget-owned private event frames, and a traceable row-1 citation	LK-29	S		LibKa0s-A-08,LibKa0s-A-10,LibKa0s-A-12	
LK-31	M1	LibKa0s	docs/releasing.md step 7: a manifest precondition, an ANALYSIS.md sub-step, and a release-notes perf-skip line	LK-30	S		LibKa0s-A-01,LibKa0s-A-05,LibKa0s-A-06	
LK-32	M1	LibKa0s	Watch-list terminal states: file the owed issues and re-rule the band files	LK-31	S		LibKa0s-A-03	
LK-33	M1	LibKa0s	Cut v1.56.0: version block, release run with ANALYSIS.md and dispositions, and a LOCAL tag (pushed only on the owner's merge approval)	LK-32,WS-08,LK-05,LK-06,LK-08,LK-09,LK-11,LK-12,LK-13,LK-14,LK-15,LK-16,LK-18,LK-19,LK-20,LK-21,LK-23,LK-03	M	yes	LibKa0s-R-15,LibKa0s-A-02,LibKa0s-A-11	
LK-34	M1	LibKa0s	Retire the provisional options-ui-§9 row and re-cut the local v1.56.0 tag on the final commit	WS-09,LK-33	S			
WA-01	M1	wow-addon	revendor-libka0s: take the delta base from the addon's provenance line, name bundles by tag, and write consolidated span bundles	WS-01	S		AuraMaster-A-21	
WA-02	M1	wow-addon	Ship bin/ka0s-bounded so the bare name resolves on the plugin's PATH entry		S	yes	MultiMeters-R-20,ConsumableMaster-R-19	
WA-03	M1	wow-addon	Review agent's cross-addon baseline re-measured at v1.56.0 and derived rather than trusted; plugin 2.4.0	LK-33,WA-02	S		LootHistory-R-19,MultiMeters-R-19	
RV-AT	M2	AbsorbTracker	Re-vendor the whole LibKa0s v1.56.0 payload into AbsorbTracker	LK-33,AT-01,WA-01,LK-34	S			
RV-AM	M2	AuraMaster	Re-vendor the whole LibKa0s v1.56.0 payload into AuraMaster	LK-33,AM-01,AM-02,WA-01,LK-34	S			
RV-BL	M2	BankLedger	Re-vendor the whole LibKa0s v1.56.0 payload into BankLedger	LK-33,BL-01,BL-02,WA-01,LK-34	S			
RV-CM	M2	ConsumableMaster	Re-vendor the whole LibKa0s v1.56.0 payload into ConsumableMaster	LK-33,CM-01,WA-01,LK-34	S			
RV-KC	M2	KickCD	Re-vendor the whole LibKa0s v1.56.0 payload into KickCD	LK-33,KC-01,WA-01,LK-34	S			
RV-LH	M2	LootHistory	Re-vendor the whole LibKa0s v1.56.0 payload into LootHistory	LK-33,WA-01,LK-34	S			
RV-MM	M2	MultiMeters	Re-vendor the whole LibKa0s v1.56.0 payload into MultiMeters	LK-33,WA-01,LK-34	S			
RV-PM	M2	PanelMaster	Re-vendor the whole LibKa0s v1.56.0 payload into PanelMaster	LK-33,WA-01,LK-34	S			
RV-PF	M2	PartyFrameEnhanced	Re-vendor the whole LibKa0s v1.56.0 payload into PartyFrameEnhanced	LK-33,WA-01,LK-34	S			
RV-PC	M2	PrettyChat	Re-vendor the whole LibKa0s v1.56.0 payload into PrettyChat	LK-33,WA-01,LK-34	S			
RV-WG	M2	WhatGroup	Re-vendor the whole LibKa0s v1.56.0 payload into WhatGroup	LK-33,WG-01,WA-01,LK-34	S			
BL-01	M2	BankLedger	Retention prune rides AceTimer and latches only when it runs; wow_mock stops no-opping C_Timer.After (PRE-RV: lands before RV-BL)	LK-33	S	yes	BankLedger-A-03,BankLedger-R-05	
BL-02	M2	BankLedger	Schema degradation stub gains SetMany (all-or-nothing batch), ahead of the LibKa0s-Schema-1.0 minor 2 parity check (PRE-RV: lands before RV-BL)	LK-22,LK-33	S			
AT-01	M2	AbsorbTracker	Schema degradation stub catches up to LibKa0s-Schema-1.0 minor 2: SetMany, normalize, instanceId forwarding and the writeThrough store	LK-22,LK-23,LK-33	M			
WG-01	M2	WhatGroup	Unregister the EventRegistry 'SetItemRef' callback at stand-down, re-register at stand-up, and make the disabled survey see it	LK-33	M	yes	WHATGROUP-A-01,WHATGROUP-A-02,WHATGROUP-A-03	
CM-01	M2	ConsumableMaster	Pre-re-vendor fixes: the three British spellings the kit-26 prose gate will catch, plus any other red the v1.56.0 dry-run shows	WS-07,LK-07,LK-33	S		ConsumableMaster-A-07,ConsumableMaster-A-06	
AM-01	M2	AuraMaster	Pre-re-vendor: remove the lone CR in tests/page_helpers.lua and clear every red the v1.56.0 kit dry-run raises	LK-06,LK-33	S		AuraMaster-A-11	
AM-02	M2	AuraMaster	Record the unrecorded v1.35.0..v1.54.2 re-vendors in one consolidated span bundle	AM-01,WS-01,WA-01,LK-33	S		AuraMaster-A-01	
KC-01	M2	KickCD	Pre-re-vendor: clear KickCD's v1.56.0 dry-run reds (perf-analysis README spellings, LSM fake locale bits)	LK-33	S		KICKCD-A-07	
BL-03	M3	BankLedger	Stand-down drops the capture context (L:DropContext): openContext, lastSnapshot, _settleSince and the session end with the latch	RV-BL,BL-01	S	yes	BankLedger-R-01	
BL-04	M3	BankLedger	Reset all settings re-runs the enable latch and announces LedgerChanged	RV-BL,BL-03	S	yes	BankLedger-R-02,BankLedger-R-03	
BL-05	M3	BankLedger	One global reset (options-ui-§12, Option A): Reset all settings, the page/footer Defaults and /bl resetall all raise the one confirm popup, which also closes the debug console; the expired register row goes	RV-BL,BL-04	M	yes	BankLedger-A-02,BankLedger-A-05	
BL-06	M3	BankLedger	Adopt LibKa0s-Core SafeRegisterEvent: one NS.RegisterEventSafely (IsEventValid-gated, pcalled) for all eight registration sites, one event record	RV-BL,BL-03,LK-11	M	yes	BankLedger-A-13	
BL-07	M3	BankLedger	Drop the dead GUILDBANKFRAME_OPENED/_CLOSED registrations (adopt PLAYER_INTERACTION_MANAGER only if /etrace proves it fires)	RV-BL,BL-06	S	yes	BankLedger-R-08	
BL-08	M3	BankLedger	Launcher minor 2: hand isEnabled/disabledLine to the descriptor and delete the host's left-click gate	RV-BL	S	yes		
BL-09	M3	BankLedger	Slash minor 15: /bl set prints the seam's refusal; re-pin the echo cases	RV-BL	S	yes		
BL-10	M3	BankLedger	Library-absent /bl enable\|disable write settings.enabled through the Schema seam's writeThrough (WS-02 route a); the stub DisabledLine format is pinned to the library's bytes	RV-BL,BL-02	M	yes		
BL-11	M3	BankLedger	Migration stamp per standard v2.65.0: defaults declare schemaVersion = 0; the runner walks steps and stamps after each success	RV-BL,BL-05,WS-03	S	yes		
BL-12	M3	BankLedger	Minimap row's CLI path reads in its own sense: minimap.hide -> minimap.shown (storage stays LibDBIcon's minimap.hide)	RV-BL,BL-10,WS-06	S	yes		
BL-13	M3	BankLedger	ApplyVisibility and ApplyMasterChrome iterate module-level name lists (no table per combat edge)	RV-BL	S	yes	BankLedger-R-09	
BL-14	M3	BankLedger	Pin the live and library-absent schema row counts and the composed delta	RV-BL,BL-10,BL-12	S		BankLedger-A-08	
BL-15	M3	BankLedger	Tests use NS.MSG constants at every bus call site; test_bus.lua stays the one wire-name oracle	RV-BL,BL-04	S		BankLedger-A-14	
BL-16	M3	BankLedger	Annotate the two load-bearing TOC positions (Insights after InsightsWidgets, Slash after Schema) and pin them	RV-BL	S	yes	BankLedger-A-06,BankLedger-A-07	
BL-17	M3	BankLedger	Printer call sites pass argument lists instead of pre-formatted strings (events-frames-taint-§8)	RV-BL,BL-05	S	yes	BankLedger-A-16	
