id	milestone	repo	title	depends_on	effort	smoke	traces
SR-WS-01	M1	WowAddonStandards	options-ui-§2/§13/§14 sanction the nav rail as a first level (rail + strip = two levels; per-entry tab; Defaults = active entry; band above rail and strip; rail not a picker; cover names the rail); v2.69.0 header, changelog entry, STANDARDS.md:60 blurb incl. the stale single-exemption fix		S	S8,S15	spec§5; A1,A7
SR-WS-02	M1	WowAddonStandards	Ripple v2.69.0: EXECUTIVE_SUMMARY.md :11/:22, NEW_ADDON_CONTEXT.md :1/:1418/:1419/:1528/:1529, AUDIT.md checks (g)/(i), library-stack.md :82 (twenty-three files) and :95 (OptionsNav.lua, the nav rail), README.md :146	SR-WS-01	S		spec§5
SR-LK-01	M1	LibKa0s	OptionsNav minor 1 (O.NavRail, lib.__railInset, rail top off the active tab art, pooled entries, combat refusal); Options 25 (anchorScroll inset, attach) and OptionsTabs 5 (placeTabs, drawContentPanel); XML, majors.lua, test_options_nav.lua + combat case; CHANGELOG v1.61.0 block incl. What a consumer owes (NavRail stub no-op); docs/api 25.31.5.7.4.1 doc + members; test-cases.md		L	S2,S8,S9,S10,S15,S16	spec§2,§4; A1-A5; ReviewFocus1
SR-LK-02	M1	LibKa0s	Prose and census for the sixth Options file: README module row/MODULES/tree, CLAUDE.md census and band re-measured, releasing.md constants/files/paired/partial-copy prose and Consumers row	SR-LK-01	S		spec§4; A17
SR-LK-03	M1	LibKa0s	Release v1.61.0: Consumers re-sweep first, dated CHANGELOG, README standard pointer v2.69.0, releasing.md pointers and provenance template line (:250), release battery --release 1.61.0, ANALYSIS.md + RESULTS row + gate line, local annotated tag v1.61.0 (never pushed); done only when the tag exists	SR-LK-02,SR-WS-02	M	S16	spec§4; D14
SR-AM-01	M2	AuraMaster	Re-vendor LibKa0s v1.61.0 from the tag (both payloads), CLAUDE.md provenance, DEPENDENCIES.md, module-map.md, NavRail stub no-op, docs/revendor bundle	SR-LK-03	S	S16	spec§4 (degradation stub); A17
SR-AM-02	M2	AuraMaster	Section registry NS.RegisterContainerSection/NS.ContainerSection on both arms; spec.style/spec.tooltip on Filters/Layout/Bars/Icons/Text; Diagnostics gates derived from style (data); test_pages_rail.lua	SR-AM-01	S		spec§3,§6 (Diagnostics predicate); D7; A13
SR-AM-03	M2	AuraMaster	Containers page renderer: PageBanner -> NavRail -> section via RenderPage; SECTION_ORDER; per-section tab memory (stash before any move); style heal; General section; page_helpers drawnRail/rail; descriptor tests move off RenderContainerPage(ctx,pageKey,spec)	SR-AM-02	L	S2,S3,S4,S5,S10,S13	spec§2,§3,§6; A6,A11,A12; ReviewFocus2,3
SR-AM-04	M2	AuraMaster	Deep links: OpenOptionsPage(section) opens Containers on it (containers keeps the section; mismatched style selects nothing); Helpers.SelectSection (combat-refused); SelectTab routes section keys; Defaults restores the active section, section-neutral tooltip	SR-AM-03	M	S6,S7,S11,S12,S14	spec§3,§6; A8,A9,A10; ReviewFocus4,5
SR-AM-05	M2	AuraMaster	Retire the sub-pages: sections only, no disabledFor/disabledNotice, D6 NS.SubPageLabel and NS.RegisterContainerPage removed, mutedNotice and C.NOTICE_COLOR removed, locale, TOC notes, load-order pairs, __pageCtx aliases, P.show selects a section, test migration R1-R6	SR-AM-04	L	S1	spec§1,§3,§5 (D6),§6; A14,A15,A16
SR-AM-06	M2	AuraMaster	Docs: settings-panel.md, ARCHITECTURE.md, module-map.md, common-tasks.md, README (humanize, badge), smoke-tests.md #6 section (S1-S16, unmarked), test-cases.md	SR-AM-05	M	S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16	spec§6 (Docs),§8
SR-REC-01	M3	Ka0sAddonsCommonTasks	Execution record: 99_REPORT.md (commits, local tag, gate figures, deviations, follow-ups incl. A15 issue, MM#55/KC#33 readiness, owner smoke, finalize), checkpoints rows	SR-AM-06	S		spec§9
