id	milestone	repo	title	depends_on	effort	smoke	traces
NR-AT-01	M1	AbsorbTracker	Re-vendor LibKa0s v1.61.0 from the tag (libs/LibKa0s only; kit unchanged at 27), CLAUDE.md provenance, docs/testing.md:170 current-version line, NavRail no-op on the stub (Helpers.NavRail assignment after SelectTab), docs/revendor bundle		S	RV-S1	spec§4; R14
NR-BL-01	M1	BankLedger	Re-vendor LibKa0s v1.61.0 from the tag, CLAUDE.md provenance, docs/testing.md:97-98, NavRail no-op in the stub table literal, docs/test-cases.md regenerated (per CLAUDE.md), docs/revendor bundle		S	RV-S1	spec§4; R14
NR-CM-01	M1	ConsumableMaster	Re-vendor LibKa0s v1.61.0 from the tag, CLAUDE.md provenance, tests/test_libka0s.lua Options inventory gains OptionsNav (files + paired __navMinor/__navShellMinor; no stub row: OPTIONS_SEAM list), docs/revendor bundle; gate is lua5.1		S	RV-S1	spec§4; R14,R18
NR-KC-01	M1	KickCD	Re-vendor LibKa0s v1.61.0 from the tag, CLAUDE.md provenance, docs/testing.md:187, NavRail in the stub name list, tests/test_options_panel.lua Options-file count 5 -> 6, docs/revendor bundle		S	RV-S1	spec§4; R14
NR-LH-01	M1	LootHistory	Re-vendor LibKa0s v1.61.0 from the tag, CLAUDE.md provenance, NavRail no-op in the stub table literal, tests/test_libka0s.lua LIB_FILES gains OptionsNav.lua, docs/revendor bundle		S	RV-S1	spec§4; R14
NR-MM-01	M1	MultiMeters	Re-vendor LibKa0s v1.61.0 from the tag, CLAUDE.md provenance, NavRail in the stub name list, docs/revendor bundle		S	RV-S1	spec§4; R14
NR-PM-01	M1	PanelMaster	Re-vendor LibKa0s v1.61.0 from the tag, CLAUDE.md provenance, NavRail no-op in the stub table literal, vendor diff gate, docs/revendor bundle		S	RV-S1	spec§4; R14
NR-PF-01	M1	PartyFrameEnhanced	Re-vendor LibKa0s v1.61.0 from the tag, CLAUDE.md provenance, docs/ARCHITECTURE.md:23/:42 current-version lines, NavRail in the stub name list, docs/revendor bundle		S	RV-S1	spec§4; R14
NR-PC-01	M1	PrettyChat	Re-vendor LibKa0s v1.61.0 from the tag, CLAUDE.md provenance, docs/testing.md:116 and docs/ARCHITECTURE.md:409, NavRail no-op in the stub table literal, docs/revendor bundle		S	RV-S1	spec§4; R14
NR-WG-01	M1	WhatGroup	Re-vendor LibKa0s v1.61.0 from the tag, CLAUDE.md provenance, docs/testing.md:285, tests/loader.lua loads OptionsNav.lua, H.NavRail no-op on the stub, vendor diff gate, docs/revendor bundle		S	RV-S1	spec§4; R14
NR-MM-02	M2	MultiMeters	Windows page: section registry on both arms (NS.RegisterWindowSection/NS.WindowSection, SECTION_ORDER), Helpers.RenderWindowPage (CancelReorder first, band -> NavRail -> section), per-entry tab memory, General section (one General tab: Window block + Copy settings from block), Columns section render hook, Defaults dispatcher (General restores nothing; Columns both halves) and one neutral tooltip; tests/test_windows_rail.lua; settings-panel.md rail section	NR-MM-01	L	MM-S2,MM-S3,MM-S4,MM-S5,MM-S6,MM-S7,MM-S8,MM-S10,MM-S11	spec§A2,§A3,§A6; R1,R2,R4,R5,R6; ReviewFocus1,2; MultiMeters#55
NR-MM-03	M2	MultiMeters	Deep links: category capture in NS.RegisterOptionsPage, NS.OpenOptionsPage (section key opens Windows at that entry; windows keeps the entry), Helpers.SelectSection (combat-refused), SelectTab routes section keys; degraded counterparts; tests; settings-panel.md deep-link paragraph	NR-MM-02	M	MM-S9	spec§A3,§A6; R3; MultiMeters#55
